obs,Age,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Month,Duration,Campaign,Previous,poutcome,Y
4784,39,blue-collar,married,secondary,no,-405,yes,no,cellular,may,177,1,0,unknown,0
4785,48,admin.,married,secondary,no,0,no,yes,cellular,oct,195,1,5,failure,0
4786,43,technician,married,secondary,no,-796,no,no,cellular,jul,190,4,0,unknown,0
4787,35,blue-collar,married,secondary,no,911,yes,no,cellular,nov,434,2,5,other,0
4788,37,admin.,single,tertiary,no,1000,yes,no,cellular,mar,195,1,0,unknown,1
4789,58,admin.,married,secondary,no,451,no,no,cellular,aug,729,5,0,unknown,0
4790,28,management,married,tertiary,no,328,no,no,unknown,may,471,1,0,unknown,0
4791,50,housemaid,married,primary,no,0,no,no,cellular,aug,52,3,0,unknown,0
4792,49,blue-collar,married,primary,no,1119,yes,no,unknown,jun,493,1,0,unknown,0
4793,48,entrepreneur,married,secondary,no,86,yes,no,unknown,may,98,1,0,unknown,0
4794,40,technician,single,tertiary,no,825,yes,no,cellular,apr,38,1,1,other,0
4795,33,blue-collar,married,secondary,no,1905,yes,no,cellular,may,39,1,2,success,0
4796,40,technician,single,secondary,no,398,yes,no,cellular,may,642,1,0,unknown,0
4797,32,technician,single,unknown,no,10600,no,no,unknown,may,485,2,0,unknown,0
4798,31,technician,single,tertiary,no,1887,no,yes,cellular,nov,225,2,1,failure,0
4799,28,unemployed,single,tertiary,no,0,no,no,telephone,feb,39,1,0,unknown,0
4800,55,admin.,single,secondary,no,1854,yes,no,unknown,may,34,2,0,unknown,0
4801,38,blue-collar,married,secondary,no,2978,yes,no,cellular,jan,44,1,0,unknown,0
4802,56,management,married,tertiary,no,563,yes,no,cellular,may,100,2,1,failure,0
4803,41,management,married,primary,no,5310,yes,no,cellular,nov,984,1,0,unknown,1
4804,38,blue-collar,married,primary,no,10443,no,no,cellular,nov,370,1,0,unknown,0
4805,52,blue-collar,divorced,primary,no,-57,yes,no,unknown,may,114,3,0,unknown,0
4806,38,technician,single,tertiary,no,178,yes,no,cellular,may,184,1,1,failure,0
4807,26,student,single,tertiary,no,10086,no,no,cellular,jul,475,3,2,success,0
4808,39,management,divorced,tertiary,no,295,no,no,cellular,aug,68,2,0,unknown,0
4809,31,student,single,secondary,no,3511,no,no,cellular,jul,667,1,0,unknown,1
4810,29,student,single,secondary,no,872,yes,no,unknown,may,230,1,0,unknown,0
4811,37,technician,married,tertiary,no,4439,yes,no,cellular,jul,70,29,0,unknown,0
4812,42,self-employed,married,primary,no,3641,yes,no,unknown,may,869,1,0,unknown,0
4813,59,retired,single,secondary,no,351,yes,no,unknown,may,1063,5,0,unknown,1
4814,25,services,married,secondary,no,51,yes,yes,cellular,may,159,2,2,failure,0
4815,39,self-employed,married,tertiary,no,1238,yes,no,cellular,jul,212,1,0,unknown,0
4816,47,housemaid,married,secondary,no,2524,no,no,cellular,oct,105,1,0,unknown,1
4817,50,entrepreneur,single,tertiary,no,0,yes,no,unknown,jun,638,1,0,unknown,0
4818,23,technician,single,secondary,no,632,yes,no,cellular,may,248,1,0,unknown,0
4819,52,technician,married,secondary,no,1815,no,no,cellular,aug,131,3,0,unknown,0
4820,36,management,married,primary,no,1506,no,no,cellular,aug,326,3,0,unknown,1
4821,43,technician,single,unknown,no,572,no,no,cellular,nov,80,2,0,unknown,0
4822,47,technician,married,secondary,no,826,yes,no,telephone,nov,195,3,8,other,0
4823,45,admin.,married,secondary,no,825,no,no,unknown,jun,140,1,0,unknown,0
4824,44,blue-collar,married,secondary,no,577,yes,no,unknown,may,199,3,0,unknown,0
4825,46,blue-collar,married,secondary,no,624,yes,no,cellular,apr,201,1,0,unknown,0
4826,40,management,married,tertiary,no,30,yes,no,cellular,jul,609,6,0,unknown,0
4827,46,blue-collar,single,secondary,no,338,yes,no,cellular,apr,178,4,0,unknown,0
4828,79,retired,married,secondary,no,2354,no,no,telephone,aug,121,2,0,unknown,0
4829,25,technician,married,secondary,no,-276,yes,no,unknown,jun,105,1,0,unknown,0
4830,37,blue-collar,married,primary,no,3370,yes,no,cellular,nov,156,4,0,unknown,0
4831,45,blue-collar,married,primary,no,25,yes,no,unknown,may,40,1,0,unknown,0
4832,31,technician,divorced,secondary,no,646,yes,no,unknown,may,294,3,0,unknown,0
4833,28,services,married,secondary,no,0,yes,no,telephone,may,62,7,0,unknown,0
4834,49,management,married,secondary,no,367,yes,no,unknown,may,85,6,0,unknown,0
4835,38,services,married,secondary,no,7208,yes,no,cellular,may,66,1,0,unknown,0
4836,35,services,single,primary,no,167,no,yes,cellular,jul,614,2,0,unknown,1
4837,32,management,single,tertiary,no,3,yes,no,cellular,may,568,1,0,unknown,1
4838,45,technician,married,tertiary,no,0,no,no,cellular,aug,103,2,0,unknown,0
4839,57,retired,married,secondary,no,789,no,no,unknown,jun,2635,3,0,unknown,0
4840,52,blue-collar,married,primary,no,241,yes,no,unknown,may,729,2,0,unknown,0
4841,45,blue-collar,divorced,primary,no,0,yes,no,cellular,jul,211,2,0,unknown,0
4842,45,blue-collar,single,secondary,no,3727,no,no,cellular,oct,572,1,0,unknown,0
4843,33,management,single,tertiary,no,755,yes,no,cellular,aug,68,12,0,unknown,0
4844,32,blue-collar,single,secondary,no,6982,yes,no,cellular,nov,224,2,1,failure,0
4845,37,management,married,tertiary,no,0,no,no,cellular,aug,179,2,0,unknown,0
4846,35,technician,single,tertiary,no,5251,yes,no,unknown,jun,176,15,0,unknown,0
4847,59,technician,married,secondary,no,116,no,no,cellular,feb,268,1,7,success,1
4848,21,student,single,secondary,no,681,no,no,unknown,aug,6,1,0,unknown,0
4849,38,technician,married,secondary,no,13,no,no,cellular,aug,311,2,0,unknown,0
4850,34,blue-collar,married,secondary,no,172,no,no,cellular,aug,237,2,0,unknown,0
4851,46,technician,single,secondary,no,401,no,no,unknown,aug,69,2,0,unknown,0
4852,59,retired,married,secondary,no,1121,yes,no,cellular,jul,249,2,0,unknown,0
4853,38,blue-collar,married,primary,no,5643,yes,no,cellular,may,106,2,1,failure,0
4854,45,services,single,secondary,no,-688,no,yes,cellular,jul,106,1,0,unknown,0
4855,29,blue-collar,married,unknown,no,486,yes,no,cellular,may,422,1,1,failure,0
4856,53,blue-collar,married,secondary,no,1093,yes,yes,unknown,jun,244,3,0,unknown,0
4857,46,management,divorced,tertiary,no,-154,yes,yes,cellular,jan,150,2,2,failure,0
4858,39,blue-collar,married,secondary,no,-66,no,yes,telephone,jul,626,5,0,unknown,0
4859,58,services,single,secondary,no,1430,yes,no,cellular,apr,861,6,5,failure,0
4860,32,management,single,secondary,no,388,no,no,telephone,may,846,2,0,unknown,0
4861,35,management,single,tertiary,no,-353,yes,no,cellular,jul,70,1,0,unknown,0
4862,43,blue-collar,married,secondary,no,1559,yes,no,unknown,may,123,1,0,unknown,0
4863,34,services,single,secondary,no,0,yes,no,cellular,may,307,2,0,unknown,0
4864,29,admin.,single,secondary,no,27,yes,no,cellular,may,754,1,0,unknown,1
4865,46,blue-collar,married,primary,no,1227,no,no,telephone,jan,157,3,0,unknown,0
4866,50,technician,divorced,secondary,no,636,yes,no,cellular,may,127,2,23,other,0
4867,39,admin.,divorced,secondary,no,-349,yes,no,unknown,may,611,2,0,unknown,0
4868,37,housemaid,married,unknown,no,0,no,no,telephone,jul,195,4,0,unknown,0
4869,37,blue-collar,married,primary,no,4997,no,no,unknown,jun,172,2,0,unknown,0
4870,35,technician,married,secondary,no,723,no,no,cellular,feb,324,1,0,unknown,0
4871,33,admin.,married,secondary,no,920,no,no,cellular,nov,130,1,2,failure,1
4872,50,self-employed,divorced,tertiary,no,13,yes,no,cellular,apr,76,1,0,unknown,1
4873,38,admin.,single,secondary,no,262,no,no,cellular,feb,315,2,6,failure,1
4874,34,technician,single,tertiary,no,301,yes,no,unknown,may,205,1,0,unknown,0
4875,28,services,single,secondary,no,198,no,no,cellular,jul,128,2,0,unknown,1
4876,55,technician,divorced,secondary,no,929,no,yes,telephone,sep,80,3,0,unknown,0
4877,48,admin.,married,primary,no,4459,yes,no,cellular,apr,439,2,1,failure,0
4878,30,self-employed,single,tertiary,no,578,yes,no,unknown,jun,142,4,0,unknown,0
4879,35,unemployed,married,secondary,no,978,no,no,cellular,jun,660,2,6,success,1
4880,32,management,single,tertiary,no,728,yes,no,unknown,may,125,1,0,unknown,0
4881,31,technician,single,tertiary,no,23,no,no,cellular,aug,121,3,0,unknown,0
4882,36,technician,married,tertiary,no,98,no,no,cellular,feb,146,1,0,unknown,0
4883,68,retired,married,secondary,no,20723,yes,no,cellular,apr,318,2,0,unknown,0
4884,56,management,married,tertiary,no,3172,yes,no,cellular,feb,139,1,0,unknown,0
4885,32,management,single,tertiary,no,623,no,no,cellular,jul,335,3,2,failure,1
4886,41,management,married,tertiary,no,3348,no,no,cellular,aug,74,1,0,unknown,0
4887,59,blue-collar,married,secondary,no,1376,no,yes,unknown,may,61,4,0,unknown,0
4888,53,technician,married,secondary,no,0,no,no,cellular,aug,77,9,0,unknown,0
4889,27,student,single,secondary,no,2015,no,no,cellular,jan,87,1,1,other,0
4890,41,blue-collar,married,primary,no,1461,yes,no,cellular,nov,290,1,2,success,0
4891,28,technician,married,secondary,no,2919,yes,no,cellular,jul,101,3,0,unknown,0
4892,30,self-employed,single,tertiary,no,655,no,no,cellular,sep,272,4,1,success,1
4893,36,management,single,tertiary,no,1246,no,no,cellular,aug,63,2,0,unknown,0
4894,36,blue-collar,married,tertiary,yes,-530,yes,no,cellular,nov,36,2,0,unknown,0
4895,59,blue-collar,married,secondary,no,10054,no,no,telephone,aug,79,6,0,unknown,0
4896,35,blue-collar,single,secondary,no,0,yes,no,cellular,apr,169,1,0,unknown,0
4897,45,admin.,divorced,secondary,no,8032,no,no,cellular,nov,73,1,0,unknown,0
4898,74,retired,married,tertiary,no,4912,no,no,telephone,oct,129,3,0,unknown,0
4899,59,technician,married,primary,no,309,no,yes,cellular,jul,25,5,0,unknown,0
4900,47,management,divorced,tertiary,no,6333,yes,no,telephone,nov,498,4,0,unknown,0
4901,32,management,married,tertiary,no,1232,no,no,cellular,aug,97,4,0,unknown,0
4902,48,admin.,single,secondary,no,1544,yes,no,telephone,jun,263,1,2,failure,1
4903,58,retired,single,primary,no,999,no,no,cellular,jul,188,6,0,unknown,0
4904,46,management,married,tertiary,no,4301,yes,yes,unknown,may,134,2,0,unknown,0
4905,49,services,divorced,secondary,no,0,yes,yes,unknown,may,272,1,0,unknown,0
4906,56,blue-collar,married,primary,no,284,no,yes,telephone,feb,124,4,4,failure,0
4907,28,technician,single,secondary,no,-16,yes,no,cellular,may,251,3,0,unknown,0
4908,46,blue-collar,divorced,primary,no,358,no,no,unknown,jun,259,2,0,unknown,0
4909,36,technician,single,secondary,no,2511,yes,no,cellular,apr,700,5,0,unknown,1
4910,56,admin.,married,secondary,no,699,no,no,unknown,jun,54,1,0,unknown,0
4911,29,services,married,secondary,no,3220,no,no,cellular,jul,172,3,0,unknown,0
4912,53,entrepreneur,married,primary,no,943,yes,yes,unknown,jun,314,2,0,unknown,0
4913,29,unknown,single,primary,no,50,yes,no,unknown,may,50,2,0,unknown,0
4914,41,management,single,tertiary,no,11008,no,no,unknown,jun,1540,1,0,unknown,1
4915,51,management,married,tertiary,no,4,yes,no,cellular,nov,58,2,0,unknown,0
4916,37,services,married,secondary,no,1776,yes,yes,cellular,apr,224,1,0,unknown,0
4917,37,entrepreneur,married,tertiary,no,1514,no,yes,cellular,jul,568,3,0,unknown,0
4918,53,blue-collar,married,secondary,no,2,yes,no,unknown,may,851,2,0,unknown,0
4919,49,technician,single,unknown,no,350,no,no,cellular,jan,91,3,0,unknown,0
4920,54,management,married,tertiary,no,11563,yes,no,cellular,aug,143,2,0,unknown,0
4921,32,management,single,tertiary,no,438,no,no,cellular,aug,318,5,0,unknown,0
4922,50,blue-collar,divorced,primary,no,602,yes,no,cellular,jul,225,2,0,unknown,0
4923,32,blue-collar,single,primary,no,405,yes,no,unknown,may,200,1,0,unknown,0
4924,30,technician,single,secondary,no,8826,yes,no,cellular,apr,90,3,3,other,0
4925,32,management,married,tertiary,no,250,yes,no,cellular,apr,247,2,0,unknown,0
4926,35,management,single,secondary,no,81,yes,no,cellular,jan,79,1,0,unknown,0
4927,27,unemployed,single,primary,no,9,no,yes,cellular,jul,919,2,0,unknown,1
4928,29,self-employed,single,secondary,no,1186,no,no,cellular,jul,313,1,0,unknown,0
4929,44,technician,divorced,secondary,no,2179,no,no,cellular,aug,180,10,0,unknown,0
4930,37,blue-collar,divorced,primary,no,139,yes,no,unknown,may,71,1,0,unknown,0
4931,33,technician,married,tertiary,no,326,yes,no,cellular,nov,238,1,0,unknown,0
4932,43,technician,married,secondary,no,674,yes,yes,unknown,may,412,1,0,unknown,0
4933,70,management,married,secondary,no,4,no,no,cellular,feb,511,5,4,failure,0
4934,35,technician,single,tertiary,no,2453,yes,no,cellular,aug,119,2,0,unknown,0
4935,74,retired,married,secondary,no,921,no,no,telephone,apr,394,2,0,unknown,1
4936,30,management,single,tertiary,no,162,yes,no,unknown,may,186,4,0,unknown,0
4937,23,student,single,secondary,no,107,no,no,cellular,oct,84,1,1,success,1
4938,76,housemaid,divorced,primary,no,1411,no,no,telephone,oct,233,2,3,success,1
4939,52,management,divorced,tertiary,no,-803,yes,no,cellular,aug,131,3,0,unknown,0
4940,43,management,married,tertiary,no,0,no,no,cellular,nov,107,2,0,unknown,0
4941,24,student,single,secondary,no,154,no,no,cellular,sep,205,2,0,unknown,0
4942,54,management,married,tertiary,no,5927,no,no,cellular,feb,256,2,0,unknown,0
4943,51,services,married,secondary,no,53,no,yes,cellular,jul,192,1,0,unknown,0
4944,47,management,married,tertiary,no,2473,yes,yes,cellular,jul,122,2,0,unknown,0
4945,37,blue-collar,married,primary,no,157,yes,no,unknown,may,833,8,0,unknown,0
4946,28,technician,married,tertiary,no,1198,no,yes,cellular,jul,57,3,0,unknown,0
4947,36,blue-collar,single,secondary,no,110,no,no,cellular,jul,291,2,0,unknown,0
4948,59,retired,married,secondary,no,1080,no,no,cellular,apr,645,2,0,unknown,0
4949,44,blue-collar,married,secondary,no,3060,yes,no,cellular,nov,113,1,2,failure,0
4950,37,blue-collar,divorced,secondary,no,33,yes,no,cellular,nov,106,2,1,failure,0
4951,71,retired,divorced,secondary,no,4380,no,no,cellular,sep,369,1,0,unknown,1
4952,36,technician,divorced,secondary,no,1156,yes,yes,cellular,jul,141,7,0,unknown,0
4953,42,technician,divorced,tertiary,no,147,yes,no,unknown,jun,254,21,0,unknown,0
4954,40,entrepreneur,married,tertiary,no,2644,yes,no,cellular,nov,110,2,1,failure,0
4955,50,management,divorced,secondary,no,-35,yes,no,cellular,aug,207,5,0,unknown,0
4956,43,management,married,tertiary,no,5670,yes,no,cellular,nov,43,4,2,failure,0
4957,56,management,married,tertiary,no,412,no,no,telephone,nov,179,6,0,unknown,0
4958,32,admin.,married,secondary,no,-1,no,no,cellular,jul,228,2,0,unknown,0
4959,47,technician,married,secondary,no,1233,yes,no,unknown,sep,91,1,2,other,1
4960,44,entrepreneur,married,secondary,no,-20,no,no,unknown,may,167,3,0,unknown,0
4961,36,admin.,single,tertiary,no,3819,no,no,unknown,jun,398,2,0,unknown,0
4962,33,technician,married,secondary,no,852,no,no,cellular,aug,388,8,0,unknown,0
4963,36,management,single,tertiary,no,0,yes,no,unknown,may,88,2,0,unknown,0
4964,27,services,married,secondary,no,221,no,yes,cellular,jul,554,1,0,unknown,0
4965,33,admin.,married,secondary,no,2468,yes,yes,cellular,may,84,1,4,failure,0
4966,36,management,married,tertiary,no,625,yes,no,cellular,jul,1360,9,0,unknown,1
4967,39,admin.,married,secondary,no,1221,no,no,unknown,jun,97,1,0,unknown,0
4968,35,services,single,secondary,no,35,yes,no,cellular,may,152,1,0,unknown,0
4969,32,student,single,unknown,no,376,no,no,cellular,may,457,2,3,failure,0
4970,51,admin.,single,secondary,yes,-2,no,no,unknown,may,402,3,0,unknown,0
4971,41,blue-collar,married,primary,no,4,no,no,cellular,jul,74,5,0,unknown,0
4972,37,blue-collar,married,secondary,no,680,yes,yes,cellular,jul,613,3,0,unknown,0
4973,36,services,married,secondary,no,184,yes,no,unknown,may,128,3,0,unknown,0
4974,38,services,married,secondary,no,859,yes,no,cellular,may,35,6,0,unknown,0
4975,32,blue-collar,single,primary,no,1918,yes,no,cellular,nov,321,1,0,unknown,0
4976,37,management,married,tertiary,no,9895,yes,no,cellular,nov,352,3,0,unknown,0
4977,42,self-employed,married,secondary,no,1216,yes,no,cellular,apr,296,1,1,failure,1
4978,36,services,divorced,secondary,no,127,no,no,cellular,aug,172,3,0,unknown,0
4979,57,technician,married,unknown,no,1617,yes,no,unknown,may,96,2,0,unknown,0
4980,60,admin.,married,unknown,no,478,no,no,cellular,sep,324,8,0,unknown,0
4981,28,student,single,tertiary,no,1562,no,no,cellular,feb,659,4,0,unknown,1
4982,30,admin.,single,secondary,no,939,yes,no,cellular,apr,207,1,0,unknown,0
4983,49,entrepreneur,single,secondary,no,259,no,no,cellular,may,149,1,0,unknown,0
4984,56,blue-collar,married,unknown,no,6710,no,no,cellular,jul,318,2,0,unknown,0
4985,45,blue-collar,married,unknown,no,909,yes,no,cellular,jan,166,1,1,other,0
4986,43,management,married,tertiary,no,489,yes,no,cellular,may,130,1,2,other,0
4987,52,unemployed,married,secondary,no,94,no,no,cellular,nov,293,3,10,failure,1
4988,31,technician,single,secondary,no,475,no,no,cellular,jul,226,1,0,unknown,0
4989,65,retired,married,secondary,no,1624,no,no,cellular,oct,189,2,0,unknown,0
4990,50,management,married,primary,no,313,no,no,telephone,oct,958,1,0,unknown,1
4991,36,blue-collar,single,secondary,no,366,yes,yes,unknown,may,1133,2,0,unknown,1
4992,45,self-employed,married,secondary,no,396,no,no,cellular,aug,238,1,0,unknown,0
4993,39,blue-collar,married,secondary,no,483,yes,no,unknown,may,282,1,0,unknown,0
4994,43,services,married,secondary,no,774,no,no,cellular,jun,482,1,2,success,1
4995,37,student,divorced,tertiary,no,0,no,no,telephone,jul,100,6,0,unknown,0
4996,25,blue-collar,married,secondary,no,-306,yes,no,unknown,jun,534,3,0,unknown,0
4997,55,admin.,married,secondary,no,0,no,no,cellular,aug,16,28,0,unknown,0
4998,40,entrepreneur,married,secondary,no,285,no,no,cellular,nov,133,1,0,unknown,0
4999,39,admin.,married,secondary,no,973,yes,no,cellular,sep,172,4,0,unknown,0
5000,33,technician,single,tertiary,no,538,yes,no,unknown,may,359,2,0,unknown,0
5001,33,self-employed,single,tertiary,no,301,yes,no,cellular,apr,446,1,0,unknown,0
5002,51,technician,married,secondary,no,220,yes,no,unknown,may,421,2,0,unknown,0
5003,36,management,married,tertiary,no,2326,yes,no,cellular,nov,7,5,0,unknown,0
5004,28,housemaid,single,secondary,no,781,yes,no,cellular,apr,52,1,0,unknown,0
5005,55,management,married,primary,no,384,no,no,telephone,feb,75,1,0,unknown,0
5006,45,technician,single,secondary,no,29,yes,no,cellular,may,86,1,1,failure,0
5007,45,management,divorced,tertiary,no,6572,yes,no,cellular,nov,42,2,0,unknown,0
5008,51,technician,divorced,primary,no,548,no,no,unknown,jun,138,2,0,unknown,0
5009,36,management,single,tertiary,no,1,yes,no,cellular,may,131,1,0,unknown,0
5010,57,management,married,tertiary,no,830,yes,yes,cellular,may,662,1,1,success,1
5011,55,retired,married,secondary,no,393,no,yes,cellular,may,176,1,0,unknown,0
5012,41,technician,single,unknown,no,3652,yes,no,cellular,may,127,1,2,success,0
5013,44,technician,married,secondary,no,381,yes,no,cellular,jul,92,1,0,unknown,0
5014,42,admin.,single,tertiary,no,473,yes,no,cellular,apr,494,1,0,unknown,0
5015,44,entrepreneur,married,primary,no,58,yes,no,unknown,may,113,3,0,unknown,0
5016,49,blue-collar,married,tertiary,no,1769,yes,no,cellular,may,283,2,0,unknown,0
5017,41,technician,married,secondary,no,741,yes,no,cellular,may,606,3,6,other,0
5018,48,services,single,secondary,no,133,yes,yes,cellular,jul,143,1,0,unknown,0
5019,38,services,single,secondary,no,-196,yes,no,cellular,feb,60,1,1,failure,0
5020,42,admin.,divorced,secondary,no,435,yes,no,unknown,may,148,1,0,unknown,0
5021,57,blue-collar,married,primary,no,0,no,no,cellular,aug,120,3,0,unknown,0
5022,28,entrepreneur,single,unknown,no,1306,yes,no,unknown,may,396,3,0,unknown,0
5023,32,management,single,tertiary,no,27,yes,no,cellular,nov,261,1,0,unknown,0
5024,47,admin.,married,secondary,no,6695,no,no,telephone,nov,129,3,0,unknown,0
5025,30,management,single,tertiary,no,520,yes,no,cellular,feb,157,5,0,unknown,0
5026,31,technician,married,secondary,no,-576,yes,no,unknown,may,93,2,0,unknown,0
5027,58,retired,married,primary,no,196,yes,no,unknown,may,35,1,0,unknown,0
5028,43,blue-collar,married,primary,no,-423,yes,yes,cellular,may,457,1,0,unknown,0
5029,41,admin.,divorced,tertiary,no,-298,yes,no,cellular,may,397,1,0,unknown,0
5030,35,technician,married,secondary,no,128,no,yes,cellular,jan,456,1,2,other,0
5031,35,blue-collar,married,primary,no,-12,yes,no,unknown,may,212,5,0,unknown,0
5032,43,services,married,secondary,no,216,yes,yes,cellular,may,129,1,0,unknown,0
5033,32,management,married,tertiary,no,-24,yes,no,unknown,may,93,4,0,unknown,0
5034,28,services,single,secondary,no,317,yes,no,unknown,may,21,3,0,unknown,0
5035,60,retired,married,secondary,no,78,no,yes,unknown,jun,151,2,0,unknown,0
5036,39,blue-collar,single,secondary,yes,0,yes,yes,cellular,feb,14,8,0,unknown,0
5037,54,management,divorced,tertiary,no,92,no,yes,telephone,jul,86,4,0,unknown,0
5038,30,blue-collar,single,secondary,no,348,yes,no,cellular,may,14,3,1,other,0
5039,29,blue-collar,married,secondary,no,-20,yes,no,cellular,may,140,3,0,unknown,0
5040,56,blue-collar,single,primary,no,39,yes,no,telephone,may,191,2,5,failure,0
5041,38,services,married,secondary,yes,-433,yes,no,cellular,jul,111,2,0,unknown,0
5042,40,management,single,tertiary,no,157,yes,no,unknown,may,68,2,0,unknown,0
5043,58,retired,married,secondary,no,19,no,yes,cellular,jul,106,3,0,unknown,0
5044,45,management,single,secondary,no,451,yes,no,cellular,aug,142,2,0,unknown,0
5045,31,admin.,married,secondary,no,355,yes,no,unknown,may,239,1,0,unknown,0
5046,39,management,married,tertiary,no,429,yes,no,unknown,may,272,4,0,unknown,0
5047,31,services,single,tertiary,no,620,no,no,cellular,feb,189,1,0,unknown,0
5048,47,blue-collar,married,primary,no,-187,no,no,unknown,jul,652,1,0,unknown,0
5049,35,blue-collar,single,primary,no,1147,yes,yes,telephone,may,29,1,0,unknown,0
5050,35,blue-collar,single,primary,no,246,no,no,cellular,may,157,2,5,failure,0
5051,84,retired,divorced,primary,no,1680,no,no,telephone,sep,113,5,3,other,0
5052,55,blue-collar,married,primary,no,419,no,no,cellular,aug,33,8,0,unknown,0
5053,31,management,married,tertiary,no,1126,no,no,unknown,jun,20,1,0,unknown,0
5054,29,technician,single,secondary,no,0,no,no,cellular,jan,296,1,0,unknown,0
5055,45,blue-collar,single,secondary,no,0,yes,no,cellular,apr,1472,1,4,failure,1
5056,32,management,single,tertiary,no,1310,no,no,cellular,aug,418,3,0,unknown,0
5057,34,technician,married,secondary,no,1075,yes,no,cellular,may,460,1,0,unknown,0
5058,48,technician,married,secondary,no,5,no,no,unknown,jun,65,6,0,unknown,0
5059,29,blue-collar,married,secondary,no,137,yes,no,cellular,apr,343,2,3,other,0
5060,31,management,single,tertiary,no,35,no,no,cellular,aug,27,16,0,unknown,0
5061,51,management,divorced,tertiary,no,323,yes,no,cellular,jul,356,9,0,unknown,0
5062,34,admin.,married,secondary,no,-312,yes,no,unknown,may,232,1,0,unknown,0
5063,53,blue-collar,married,unknown,no,2785,yes,no,unknown,may,1165,1,0,unknown,0
5064,60,blue-collar,married,secondary,no,721,no,no,cellular,jul,160,1,0,unknown,0
5065,56,technician,single,secondary,no,751,yes,no,cellular,may,43,8,5,failure,0
5066,32,admin.,single,secondary,no,458,no,yes,cellular,jul,125,2,0,unknown,0
5067,35,management,single,tertiary,no,688,no,no,cellular,feb,504,1,0,unknown,0
5068,38,technician,single,tertiary,no,508,yes,yes,cellular,aug,1103,2,0,unknown,1
5069,27,blue-collar,single,secondary,no,535,no,no,cellular,feb,171,1,2,success,1
5070,42,housemaid,single,primary,no,206,no,yes,cellular,jul,148,1,0,unknown,0
5071,45,entrepreneur,married,secondary,no,781,no,yes,cellular,nov,652,2,2,failure,1
5072,38,blue-collar,married,secondary,no,-579,yes,yes,unknown,may,195,2,0,unknown,0
5073,59,retired,married,primary,yes,-488,no,yes,unknown,jun,247,1,0,unknown,0
5074,40,services,divorced,primary,no,471,yes,no,cellular,apr,1156,1,2,failure,1
5075,38,housemaid,married,tertiary,no,5669,yes,no,unknown,may,31,1,0,unknown,0
5076,50,admin.,married,secondary,no,2955,no,no,cellular,jan,166,1,0,unknown,0
5077,23,blue-collar,married,secondary,no,94,yes,no,unknown,may,193,1,0,unknown,0
5078,28,management,married,tertiary,no,1918,no,no,cellular,oct,333,1,1,failure,0
5079,38,management,single,tertiary,no,6158,yes,no,cellular,apr,139,5,9,failure,1
5080,30,technician,single,secondary,no,1625,yes,no,cellular,jul,90,3,0,unknown,0
5081,33,management,married,secondary,no,171,no,no,cellular,jul,100,4,0,unknown,0
5082,33,technician,married,secondary,no,133,no,no,cellular,may,218,1,0,unknown,1
5083,46,management,divorced,secondary,no,145,yes,no,cellular,apr,113,2,5,failure,0
5084,40,technician,married,secondary,no,529,no,yes,cellular,jan,596,1,0,unknown,0
5085,41,services,divorced,secondary,no,0,no,no,cellular,jul,93,3,0,unknown,0
5086,33,technician,single,tertiary,no,2565,yes,no,cellular,may,128,2,0,unknown,0
5087,28,admin.,single,secondary,no,261,yes,yes,cellular,jan,254,3,6,success,1
5088,52,blue-collar,single,secondary,no,1541,yes,no,unknown,may,243,1,0,unknown,0
5089,51,technician,married,secondary,no,1113,no,yes,cellular,aug,391,4,0,unknown,0
5090,37,admin.,married,secondary,no,-107,yes,no,unknown,may,158,2,0,unknown,0
5091,27,technician,single,secondary,no,489,yes,no,cellular,jul,356,4,0,unknown,1
5092,70,retired,married,primary,no,3782,no,no,cellular,sep,704,2,1,failure,0
5093,23,admin.,single,secondary,no,1358,no,no,cellular,may,237,2,0,unknown,0
5094,57,entrepreneur,married,tertiary,no,729,no,no,cellular,nov,475,1,0,unknown,0
5095,33,management,married,tertiary,no,2213,no,no,cellular,feb,240,1,9,failure,0
5096,28,admin.,married,secondary,yes,105,no,no,cellular,jul,130,1,0,unknown,0
5097,40,admin.,single,secondary,no,739,yes,no,unknown,may,132,1,0,unknown,0
5098,46,technician,married,tertiary,no,157,no,no,unknown,jun,150,1,0,unknown,0
5099,48,technician,married,secondary,no,101,yes,no,cellular,jan,414,2,3,failure,0
5100,45,technician,married,secondary,no,1081,yes,no,cellular,jul,127,3,0,unknown,0
5101,37,management,married,tertiary,no,23,yes,no,unknown,may,409,2,0,unknown,0
5102,61,retired,divorced,secondary,no,1857,yes,no,unknown,may,173,4,0,unknown,0
5103,33,blue-collar,married,primary,no,2720,yes,no,unknown,may,147,3,0,unknown,0
5104,42,self-employed,married,secondary,no,487,yes,no,telephone,aug,58,4,0,unknown,0
5105,50,admin.,married,secondary,no,242,yes,no,cellular,aug,69,4,0,unknown,0
5106,31,admin.,single,secondary,no,554,yes,no,cellular,feb,94,1,0,unknown,0
5107,42,services,married,secondary,no,-1,yes,no,cellular,jul,38,2,0,unknown,0
5108,49,blue-collar,married,primary,no,3,no,yes,cellular,jul,1439,6,0,unknown,1
5109,58,housemaid,divorced,primary,no,57,no,no,unknown,jun,117,3,0,unknown,0
